title,category,content,summary,write_date,src_origin
"偽	ニセ	ニセ	偽	名詞-普通名詞-一般			0
ブランド	ブランド	ブランド	ブランド-brand	名詞-普通名詞-一般			0
品	ヒン	ヒン	品	接尾辞-名詞的-一般			
輸入	ユニュー	ユニュウ	輸入	名詞-普通名詞-サ変可能			0
差し止め	サシトメ	サシトメ	差し止め	名詞-普通名詞-一般			0
件数	ケンスー	ケンスウ	件数	名詞-普通名詞-一般			3
去年	キョネン	キョネン	去年	名詞-普通名詞-副詞可能			1
3	3	3	3	名詞-数詞			0
万	マン	マン	万	名詞-数詞			1
件	ケン	ケン	件	名詞-普通名詞-助数詞可能			1
超	チョー	チョウ	超	接頭辞			
大谷	オーヤ	オオヤ	オオヤ	名詞-固有名詞-人名-姓			1
の	ノ	ノ	の	助詞-格助詞			
偽	ニセ	ニセ	偽	名詞-普通名詞-一般			0
ユニ	ユニ	ユニ	ユニ	名詞-普通名詞-一般			1
など	ナド	ナド	など	助詞-副助詞			
EOS
",사회,"財務	ザイム	ザイム	財務	名詞-普通名詞-一般			1
省	ショー	ショウ	省	接尾辞-名詞的-一般			
に	ニ	ニ	に	助詞-格助詞			
より	ヨリ	ヨル	因る	動詞-一般	五段-ラ行	連用形-一般	0
ます	マス	マス	ます	助動詞	助動詞-マス	終止形-一般	
と	ト	ト	と	助詞-接続助詞			
、			、	補助記号-読点			
全国	ゼンコク	ゼンコク	全国	名詞-普通名詞-一般			1
の	ノ	ノ	の	助詞-格助詞			
税関	ゼーカン	ゼイカン	税関	名詞-普通名詞-一般			0
が	ガ	ガ	が	助詞-格助詞			
去年	キョネン	キョネン	去年	名詞-普通名詞-副詞可能			1
1	1	1	1	名詞-数詞			0
年間	ネンカン	ネンカン	年間	名詞-普通名詞-助数詞可能			0,1
に	ニ	ニ	に	助詞-格助詞			
偽	ニセ	ニセ	偽	名詞-普通名詞-一般			0
ブランド	ブランド	ブランド	ブランド-brand	名詞-普通名詞-一般			0
品	ヒン	ヒン	品	接尾辞-名詞的-一般			
など	ナド	ナド	など	助詞-副助詞			
と	ト	ト	と	助詞-格助詞			
し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	0
て	テ	テ	て	助詞-接続助詞			
輸入	ユニュー	ユニュウ	輸入	名詞-普通名詞-サ変可能			0
を	オ	ヲ	を	助詞-格助詞			
差し止め	サシトメ	サシトメル	差し止める	動詞-一般	下一段-マ行	連用形-一般	4,0
た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	
件数	ケンスー	ケンスウ	件数	名詞-普通名詞-一般			3
は	ワ	ハ	は	助詞-係助詞			
、			、	補助記号-読点			
3	3	3	3	名詞-数詞			0
万	マン	マン	万	名詞-数詞			1
1666	1666	1666	1666	名詞-数詞			0
件	ケン	ケン	件	名詞-普通名詞-助数詞可能			1
と	ト	ト	と	助詞-格助詞			
なり	ナリ	ナル	成る	動詞-非自立可能	五段-ラ行	連用形-一般	1
、			、	補助記号-読点			
前	マエ	マエ	前	名詞-普通名詞-副詞可能			1
の	ノ	ノ	の	助詞-格助詞			
年	トシ	トシ	年	名詞-普通名詞-副詞可能			2
より	ヨリ	ヨリ	より	助詞-格助詞			
17	17	17	17	名詞-数詞			0
.			．	補助記号-句点			
5	5	5	5	名詞-数詞			0
％	パーセント	パーセント	パーセント-percent	名詞-普通名詞-助数詞可能			3
増え	フエ	フエル	増える	動詞-一般	下一段-ア行	連用形-一般	2
まし	マシ	マス	ます	助動詞	助動詞-マス	連用形-一般	
た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	
。			。	補助記号-句点			
3	3	3	3	名詞-数詞			0
年	ネン	ネン	年	名詞-普通名詞-助数詞可能			1
ぶり	ブリ	ブリ	振り	接尾辞-名詞的-一般			
に	ニ	ニ	に	助詞-格助詞			
3	3	3	3	名詞-数詞			0
万	マン	マン	万	名詞-数詞			1
件	ケン	ケン	件	名詞-普通名詞-助数詞可能			1
を	オ	ヲ	を	助詞-格助詞			
超え	コエ	コエル	越える	動詞-一般	下一段-ア行	連用形-一般	0
、			、	補助記号-読点			
1987	1987	1987	1987	名詞-数詞			0
年	ネン	ネン	年	名詞-普通名詞-助数詞可能			1
に	ニ	ニ	に	助詞-格助詞			
統計	トーケー	トウケイ	統計	名詞-普通名詞-サ変可能			0
を	オ	ヲ	を	助詞-格助詞			
取り	トリ	トル	取る	動詞-一般	五段-ラ行	連用形-一般	1
始め	ハジメ	ハジメル	始める	動詞-非自立可能	下一段-マ行	連用形-一般	0
て	テ	テ	て	助詞-接続助詞			
以降	イコー	イコウ	以降	名詞-普通名詞-副詞可能			1
、			、	補助記号-読点			
2	2	2	2	名詞-数詞			0
番	バン	バン	番	名詞-普通名詞-助数詞可能			1
目	メ	メ	目	接尾辞-名詞的-一般			
に	ニ	ニ	に	助詞-格助詞			
多く	オーク	オオイ	多い	形容詞-一般	形容詞	連用形-一般	1,2
なり	ナリ	ナル	成る	動詞-非自立可能	五段-ラ行	連用形-一般	1
まし	マシ	マス	ます	助動詞	助動詞-マス	連用形-一般	
た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	
。			。	補助記号-句点			
持ち込ま	モチコマ	モチコム	持ち込む	動詞-一般	五段-マ行	未然形-一般	0,3
れ	レ	レル	れる	助動詞	助動詞-レル	連用形-一般	
た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	
国別	クニベツ	クニベツ	国別	名詞-普通名詞-一般			0
で	デ	デ	で	助詞-格助詞			
は	ワ	ハ	は	助詞-係助詞			
、			、	補助記号-読点			
中国	チューゴク	チュウゴク	中国	名詞-固有名詞-地名-国			1
が	ガ	ガ	が	助詞-格助詞			
全体	ゼンタイ	ゼンタイ	全体	名詞-普通名詞-一般			0
の	ノ	ノ	の	助詞-格助詞			
79	79	79	79	名詞-数詞			0
％	パーセント	パーセント	パーセント-percent	名詞-普通名詞-助数詞可能			3
を	オ	ヲ	を	助詞-格助詞			
占め	シメ	シメル	占める	動詞-一般	下一段-マ行	連用形-一般	2
て	テ	テ	て	助詞-接続助詞			
い	イ	イル	居る	動詞-非自立可能	上一段-ア行	連用形-一般	0
ます	マス	マス	ます	助動詞	助動詞-マス	終止形-一般	
。			。	補助記号-句点			
種類	シュルイ	シュルイ	種類	名詞-普通名詞-一般			1
別	ベツ	ベツ	別	名詞-普通名詞-形状詞可能			0
で	デ	ダ	だ	助動詞	助動詞-ダ	連用形-一般	
は	ワ	ハ	は	助詞-係助詞			
衣類	イルイ	イルイ	衣類	名詞-普通名詞-一般			1
が	ガ	ガ	が	助詞-格助詞			
最も	モットモ	モットモ	最も	副詞			3,1
多く	オーク	オオイ	多い	形容詞-一般	形容詞	連用形-一般	1,2
1	1	1	1	名詞-数詞			0
万	マン	マン	万	名詞-数詞			1
401	401	401	401	名詞-数詞			0
件	ケン	ケン	件	名詞-普通名詞-助数詞可能			1
と	ト	ト	と	助詞-格助詞			
全体	ゼンタイ	ゼンタイ	全体	名詞-普通名詞-一般			0
の	ノ	ノ	の	助詞-格助詞			
28	28	28	28	名詞-数詞			0
％	パーセント	パーセント	パーセント-percent	名詞-普通名詞-助数詞可能			3
を	オ	ヲ	を	助詞-格助詞			
占め	シメ	シメル	占める	動詞-一般	下一段-マ行	連用形-一般	2
、			、	補助記号-読点			
次いで	ツイデ	ツイデ	次いで	副詞			0,1
財布	サイフ	サイフ	財布	名詞-普通名詞-一般			0
や	ヤ	ヤ	や	助詞-副助詞			
ハンドバッグ	ハンドバッグ	ハンドバッグ	ハンドバッグ-handbag	名詞-普通名詞-一般			4
など	ナド	ナド	など	助詞-副助詞			
の	ノ	ノ	の	助詞-格助詞			
バッグ	バッグ	バッグ	バッグ-bag	名詞-普通名詞-一般			1
類	ルイ	ルイ	類	接尾辞-名詞的-一般			
、			、	補助記号-読点			
靴	クツ	クツ	靴	名詞-普通名詞-一般			2
類	ルイ	ルイ	類	接尾辞-名詞的-一般			
など	ナド	ナド	など	助詞-副助詞			
と	ト	ト	と	助詞-格助詞			
なっ	ナッ	ナル	成る	動詞-非自立可能	五段-ラ行	連用形-促音便	1
て	テ	テ	て	助詞-接続助詞			
い	イ	イル	居る	動詞-非自立可能	上一段-ア行	連用形-一般	0
ます	マス	マス	ます	助動詞	助動詞-マス	終止形-一般	
。			。	補助記号-句点			
また	マタ	マタ	又	接続詞			0
、			、	補助記号-読点			
スタジオ	スタジオ	スタジオ	スタジオ-studio	名詞-普通名詞-一般			0
ジブリ	ジブリ	ジブリ	ジブリ	名詞-固有名詞-一般			1
や	ヤ	ヤ	や	助詞-副助詞			
ポケット	ポケット	ポケット	ポケット-pocket	名詞-普通名詞-一般			1,2
モンスター	モンスター	モンスター	モンスター-monster	名詞-普通名詞-一般			1
と	ト	ト	と	助詞-格助詞			
いっ	イッ	イウ	言う	動詞-一般	五段-ワア行	連用形-促音便	0
た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	
日本	ニッポン	ニッポン	日本	名詞-固有名詞-地名-国			3
の	ノ	ノ	の	助詞-格助詞			
アニメ	アニメ	アニメ	アニメ-animation	名詞-普通名詞-一般			1,0
の	ノ	ノ	の	助詞-格助詞			
グッズ	グッズ	グッズ	グッズ-goods	名詞-普通名詞-一般			1
も	モ	モ	も	助詞-係助詞			
多く	オーク	オオイ	多い	形容詞-一般	形容詞	連用形-一般	1,2
、			、	補助記号-読点			
去年	キョネン	キョネン	去年	名詞-普通名詞-副詞可能			1
12	12	12	12	名詞-数詞			0
月	ガツ	ガツ	月	名詞-普通名詞-助数詞可能			1
に	ニ	ニ	に	助詞-格助詞			
大	ダイ	ダイ	大	接頭辞			
リーグ	リーグ	リーグ	リーグ-league	名詞-普通名詞-一般			1
・			・	補助記号-一般			
大谷	オーヤ	オオヤ	オオヤ	名詞-固有名詞-人名-姓			1
選手	センシュ	センシュ	選手	名詞-普通名詞-一般			1
の	ノ	ノ	の	助詞-格助詞			
移籍	イセキ	イセキ	移籍	名詞-普通名詞-サ変可能			0
先	サキ	サキ	先	名詞-普通名詞-副詞可能			0
が	ガ	ガ	が	助詞-格助詞			
ドジャース	ドジャース	ドジャー	ドジャー-dodger	名詞-普通名詞-一般			1
に	ニ	ニ	に	助詞-格助詞			
決まっ	キマッ	キマル	決まる	動詞-一般	五段-ラ行	連用形-促音便	0
た	タ	タ	た	助動詞	助動詞-タ	連体形-一般	
直後	チョクゴ	チョクゴ	直後	名詞-普通名詞-副詞可能			1,0
に	ニ	ニ	に	助詞-格助詞			
は	ワ	ハ	は	助詞-係助詞			
その	ソノ	ソノ	其の	連体詞			0
偽造	ギゾー	ギゾウ	偽造	名詞-普通名詞-サ変可能			0
ユニフォーム	ユニフォーム	ユニホーム	ユニホーム-uniform	名詞-普通名詞-一般			1,3
が	ガ	ガ	が	助詞-格助詞			
差し止め	サシトメ	サシトメル	差し止める	動詞-一般	下一段-マ行	未然形-一般	4,0
られ	ラレ	ラレル	られる	助動詞	助動詞-レル	連用形-一般	
た	タ	タ	た	助動詞	助動詞-タ	終止形-一般	
と	ト	ト	と	助詞-格助詞			
いう	ユー	イウ	言う	動詞-一般	五段-ワア行	連体形-一般	
こと	コト	コト	事	名詞-普通名詞-一般			2
です	デス	デス	です	助動詞	助動詞-デス	終止形-一般	
。			。	補助記号-句点			
財務	ザイム	ザイム	財務	名詞-普通名詞-一般			1
省	ショー	ショウ	省	接尾辞-名詞的-一般			
は	ワ	ハ	は	助詞-係助詞			
偽	ニセ	ニセ	偽	名詞-普通名詞-一般			0
ブランド	ブランド	ブランド	ブランド-brand	名詞-普通名詞-一般			0
品	ヒン	ヒン	品	接尾辞-名詞的-一般			
は	ワ	ハ	は	助詞-係助詞			
ネット	ネット	ネット	ネット-net	名詞-普通名詞-一般			1,0
通販	ツーハン	ツウハン	通販	名詞-普通名詞-一般			0
など	ナド	ナド	など	助詞-副助詞			
で	デ	デ	で	助詞-格助詞			
流通	リューツー	リュウツウ	流通	名詞-普通名詞-サ変可能			0
する	スル	スル	為る	動詞-非自立可能	サ行変格	連体形-一般	0
ケース	ケース	ケース	ケース-case	名詞-普通名詞-一般			1
が	ガ	ガ	が	助詞-格助詞			
ある	アル	アル	有る	動詞-非自立可能	五段-ラ行	終止形-一般	1
と	ト	ト	と	助詞-格助詞			
し	シ	スル	為る	動詞-非自立可能	サ行変格	連用形-一般	0
て	テ	テ	て	助詞-接続助詞			
、			、	補助記号-読点			
公式	コーシキ	コウシキ	公式	名詞-普通名詞-形状詞可能			0
サイト	サイト	サイト	サイト-site	名詞-普通名詞-一般			0
と	ト	ト	と	助詞-格助詞			
